Subject,ROI,MNI_Y,Size,Mean_Tval,DICE,Faces (DSC w/o),Limbs (DSC w/o),Parcel_Comp,Parcel_Dist
sub-03,Rnd4Tmax2day2VB,-33.2811279296875,146,7.647191274737659,0.778875,4 (0.780),26 (0.821),54 (G_oc-temp_lat-fusifor),66.42669147864626
sub-03,Rnd5Tmax1day1VA,-41.071266174316406,161,7.202306161854439,0.6594252873563219,36 (0.596),57 (0.634),150 (G_and_S_occipital_inf),45.234442881697674
sub-03,Rnd6Tmax2day2VA,-31.460304260253906,116,6.451323080448241,0.7311188536625826,0 (0.731),0 (0.731),50 (S_occipital_ant),33.00592164954766
sub-03,Rnd7Tmax1day1VA,-13.242738723754883,161,3.3915477346902225,0.40441782584620317,0 (0.404),0 (0.404),101 (S_oc-temp_lat),19.778989960400658
sub-03,Rnd8Tmax2day3PF,-38.52481460571289,129,6.39466526101726,0.44183867823280953,0 (0.442),53 (0.522),101 (G_oc-temp_lat-fusifor),58.87080152138633
sub-03,Rnd9Tmax1day3PF,-23.378406524658203,117,3.0357369653800994,0.25940518730198564,17 (0.247),9 (0.253),64 (G_oc-temp_lat-fusifor),42.352038312076914
sub-04,Rnd1Tmax2day1VB,-46.53822326660156,140,14.17823165242161,0.8160000000000001,2 (0.819),3 (0.820),107 (G_oc-temp_lat-fusifor),53.79489087215997
sub-04,Rnd2Tmax2day2VB,-35.44126510620117,160,6.413477499671281,0.7253735581188996,0 (0.725),0 (0.725),102 (S_oc-temp_lat),17.083313666742818
sub-04,Rnd3Tmax1day1VA,-65.63655853271484,141,12.778164450433238,0.7045714285714286,102 (0.475),74 (0.559),141 (G_and_S_occipital_inf),44.70420246606249
sub-04,Rnd4Tmax1day2VA,-40.484317779541016,168,11.241158051575933,0.6759999999999999,85 (0.671),4 (0.683),129 (G_oc-temp_lat-fusifor),29.836984627714145
sub-04,Rnd5Tmax2day2VA,-13.798755645751953,182,2.5575671332064442,0.4159504765773243,0 (0.416),0 (0.416),84 (S_collat_transv_ant),54.825201663125135
sub-04,Rnd6Tmax2day1VA,-53.4023551940918,203,9.942760602469221,0.5166115107913669,28 (0.548),108 (0.668),186 (G_and_S_occipital_inf),14.138149960219067
sub-05,Rnd1Tmax2day1VB,-43.58332061767578,176,10.897013460721386,0.6633333333333333,37 (0.667),80 (0.591),92 (G_and_S_occipital_inf),58.0189701723078
sub-05,Rnd2Tmax2day1VB,-31.381290435791016,175,7.576855015706043,0.6790476190476189,0 (0.679),0 (0.679),133 (S_temporal_inf),123.49422923108185
sub-05,Rnd3Tmax2day1VB,-11.33486557006836,167,6.483676247712992,0.689047619047619,20 (0.681),0 (0.689),80 (S_oc-temp_lat),38.407803041678
sub-05,Rnd4Tmax2day3PF,-33.51777267456055,221,5.519473066213935,0.5829290149169087,0 (0.583),15 (0.598),103 (S_oc-temp_lat),14.680585828465333
sub-05,Rnd5Tmax2day1VB,-50.767784118652344,196,7.964113807709584,0.5780952380952381,101 (0.468),21 (0.595),161 (G_and_S_occipital_inf),30.098469900457197
sub-05,Rnd6Tmax1day1VA,-54.00377655029297,136,5.353489386569318,0.4116946820113252,24 (0.439),36 (0.449),132 (G_and_S_occipital_inf),8.557290488206881
sub-05,Rnd7Tmax2day3PF,-39.42311477661133,160,7.681602442815035,0.3973218144333354,16 (0.409),45 (0.428),134 (S_oc-temp_lat),34.12965691313202
sub-05,Rnd8Tmax2day1VB,-16.056352615356445,123,3.208971294896238,0.36853294821438065,0 (0.369),0 (0.369),62 (S_oc-temp_lat),30.440742167233925
sub-05,Rnd9Tmax2day5BCBL,-52.46670913696289,128,5.90556659765051,0.2918515194281762,7 (0.199),28 (0.185),116 (G_and_S_occipital_inf),6.5732679459110175
sub-05,Rnd10Tmax1day6BCBL,-21.919776916503906,236,2.548213511146013,0.21136905451402382,3 (0.212),27 (0.225),161 (S_oc-temp_lat),20.114979063119264
sub-05,Rnd11Tmax2day1VA,-34.13660430908203,180,4.570412103182429,0.3483394418240931,91 (0.293),28 (0.248),99 (G_oc-temp_lat-fusifor),31.183990523498117
